ax,ay,az,gx,gy,gz
0.628,-0.816,0.148,-29.389,57.695,59.542
0.644,-0.792,0.110,-38.847,68.412,62.511
0.647,-0.772,0.116,-50.359,67.603,67.313
0.648,-0.800,0.155,-54.023,38.840,67.221
0.654,-0.758,-0.024,-49.649,23.229,67.588
0.647,-0.812,-0.025,-34.725,24.809,60.427
0.675,-0.850,-0.019,-22.336,29.267,59.817
0.632,-0.885,-0.113,-17.427,46.099,60.504
0.619,-0.915,-0.020,-14.031,66.519,57.076
0.575,-0.927,0.080,-9.496,52.931,46.427
0.608,-0.918,0.105,-4.099,24.496,32.122
0.702,-0.913,0.085,-1.687,17.405,20.397
0.725,-0.895,0.148,-0.359,8.359,11.244
0.721,-0.929,0.212,0.412,-18.855,7.863
0.685,-1.013,0.235,-0.847,-49.969,-0.122
0.594,-1.067,0.230,-8.885,-75.244,-13.710
0.595,-1.030,0.229,-23.664,-82.908,-34.557
0.616,-0.947,0.212,-41.252,-98.725,-52.321
0.666,-0.926,0.072,-52.718,-130.489,-70.595
0.649,-0.898,0.017,-59.237,-152.336,-82.794
0.625,-0.894,-0.037,-62.282,-151.122,-97.443
0.637,-0.885,-0.071,-66.863,-148.664,-110.191
0.725,-0.822,-0.187,-66.847,-142.275,-117.130
0.769,-0.772,-0.241,-62.305,-132.824,-119.313
0.793,-0.724,-0.280,-60.321,-122.740,-116.481
0.775,-0.709,-0.334,-57.450,-101.443,-114.977
0.637,-0.757,-0.317,-54.344,-91.351,-123.015
0.573,-0.766,-0.290,-57.061,-92.092,-140.969
0.473,-0.663,-0.271,-63.267,-103.595,-161.359
0.520,-0.635,-0.384,-73.611,-120.763,-185.366
0.573,-0.575,-0.446,-69.893,-122.107,-206.015
0.665,-0.461,-0.409,-59.496,-100.802,-220.832
0.664,-0.419,-0.234,-53.099,-101.649,-228.649
0.785,-0.323,-0.244,-59.603,-90.763,-226.359
0.701,-0.345,-0.160,-69.855,-78.863,-216.763
0.678,-0.245,-0.230,-83.817,-69.603,-213.130
0.616,-0.181,-0.371,-92.107,-58.863,-216.130
0.611,-0.115,-0.483,-89.794,-52.221,-222.275
0.565,-0.076,-0.532,-72.061,-37.733,-227.504
0.535,-0.043,-0.522,-50.779,-17.641,-233.756
0.580,-0.106,-0.377,-39.840,7.786,-235.137
0.652,-0.025,-0.255,-46.496,24.534,-236.122
0.695,0.098,-0.174,-60.718,27.374,-234.901
0.681,0.125,-0.156,-69.084,30.847,-234.893
0.689,0.103,-0.153,-72.718,35.893,-233.924
0.651,0.203,-0.199,-75.809,53.031,-229.908
0.677,0.309,-0.256,-80.511,65.160,-234.145
0.755,0.466,-0.355,-79.947,63.924,-238.359
0.913,0.602,-0.463,-64.420,61.718,-231.252
0.854,0.537,-0.493,-32.305,75.313,-219.397
0.718,0.373,-0.337,4.634,101.496,-209.748
0.591,0.349,-0.091,25.252,132.023,-214.382
0.493,0.368,0.192,21.832,136.176,-222.977
0.594,0.532,0.211,-6.290,134.168,-236.511
0.693,0.700,0.132,-38.191,141.588,-240.191
0.801,0.730,0.006,-64.634,161.374,-232.687
0.996,0.845,-0.184,-75.504,180.916,-215.542
1.123,0.972,-0.255,-61.290,176.969,-191.664
0.998,0.834,-0.144,-25.702,148.069,-169.863
0.968,0.675,-0.077,10.687,122.229,-151.939
0.909,0.726,0.030,23.992,131.603,-147.244
0.684,0.759,0.158,16.137,155.015,-143.366
0.643,0.714,0.191,-3.313,188.023,-133.031
0.558,0.741,0.250,-26.107,233.954,-123.183
