ax,ay,az,gx,gy,gz
0.901,0.380,0.027,-38.298,7.000,110.260
1.003,0.258,0.011,-36.229,-20.084,120.153
1.002,0.178,-0.056,-41.122,14.115,145.405
0.943,0.160,0.040,-44.656,37.779,159.740
0.990,0.075,0.104,-44.160,52.832,172.550
1.105,0.039,0.139,-44.733,86.252,183.061
1.160,0.050,0.049,-51.504,126.290,200.969
1.165,-0.105,0.029,-49.229,147.679,213.557
1.042,-0.029,0.085,-50.084,150.214,215.664
0.993,-0.079,0.094,-47.603,127.076,207.206
0.883,-0.109,0.052,-41.290,95.405,207.031
0.928,-0.257,-0.003,-35.412,111.244,210.832
0.918,-0.299,-0.056,-35.779,135.885,201.198
0.804,-0.386,-0.124,-48.092,201.237,221.427
0.894,-0.400,-0.042,-54.374,250.130,215.863
0.789,-0.318,-0.033,-57.565,250.130,237.153
0.624,-0.331,-0.073,-39.466,227.679,227.328
0.719,-0.620,-0.033,-16.191,230.664,221.664
0.679,-0.632,0.056,8.481,220.443,197.176
0.728,-0.595,0.110,26.855,213.618,180.145
0.693,-0.608,0.214,41.260,213.229,165.847
0.664,-0.660,0.355,54.076,207.664,149.031
0.634,-0.705,0.460,56.069,183.565,137.786
0.632,-0.778,0.638,48.267,160.015,128.702
0.688,-0.739,0.550,35.931,150.534,116.061
0.693,-0.700,0.640,24.992,146.130,97.260
0.681,-0.699,0.648,12.252,134.015,82.489
0.683,-0.732,0.626,4.992,123.191,81.221
0.706,-0.798,0.570,3.237,128.893,85.183
0.683,-0.650,0.602,6.336,141.725,92.511
0.678,-0.662,0.582,10.405,160.954,103.397
0.653,-0.672,0.562,18.099,188.740,117.947
0.530,-0.638,0.552,27.603,216.328,141.145
0.409,-0.665,0.495,39.344,245.901,164.794
0.248,-0.744,0.578,57.183,250.130,174.359
0.195,-0.769,0.565,78.847,250.130,178.687
0.034,-0.771,0.639,90.573,250.130,181.092
-0.075,-0.724,0.694,93.863,250.130,186.015
-0.156,-0.651,0.794,96.893,250.130,185.618
-0.144,-0.602,0.857,105.679,250.130,176.313
-0.163,-0.587,0.926,111.679,250.130,162.557
-0.246,-0.555,1.011,107.321,250.130,156.679
-0.411,-0.610,1.075,90.305,250.130,153.969
-0.503,-0.535,0.963,68.534,250.130,149.229
-0.616,-0.509,0.848,62.847,250.130,141.122
-0.692,-0.515,0.784,71.366,250.130,131.084
-0.752,-0.505,0.752,82.679,250.130,121.443
-0.857,-0.517,0.764,90.565,250.130,113.771
-0.931,-0.445,0.723,96.153,250.130,104.237
-1.012,-0.369,0.717,107.374,245.809,88.298
-1.045,-0.400,0.788,115.924,243.679,69.038
-1.023,-0.357,0.828,117.565,233.099,50.290
-1.005,-0.307,0.854,114.893,210.542,36.725
-0.956,-0.315,0.929,114.885,192.504,30.122
-0.899,-0.317,0.984,110.198,186.427,28.878
-0.866,-0.301,0.982,94.977,184.229,33.031
-0.838,-0.293,0.862,75.473,196.420,39.969
-0.999,-0.280,1.017,60.191,211.153,43.122
-0.879,-0.272,0.467,75.916,225.466,56.664
-0.906,-0.243,0.497,84.000,230.061,70.595
-0.915,-0.229,0.480,85.817,225.977,82.992
-0.989,-0.169,0.380,89.542,220.153,87.718
-1.050,-0.170,0.357,94.656,210.519,85.046
-1.074,-0.131,0.312,100.710,199.885,82.779
-1.086,-0.109,0.342,109.344,190.718,77.229
-1.111,-0.089,0.328,110.366,187.534,67.908
-1.174,-0.131,0.292,107.031,189.603,52.000
-1.211,-0.090,0.191,100.344,198.519,33.550
-1.239,-0.081,0.264,90.382,207.557,14.481
-0.999,-0.019,0.191,73.466,213.183,20.779
-0.975,0.010,0.229,44.748,210.145,33.282
-1.035,-0.094,-0.083,59.412,195.870,26.221
-1.071,-0.140,-0.192,81.176,180.313,13.672
-1.114,-0.181,-0.230,104.947,169.344,0.649
